terme	valeur
conviction	CriminalOffenceData
convictions	CriminalOffenceData
offence	CriminalOffenceData
offense	CriminalOffenceData
felony	CriminalOffenceData
misdemeanor	CriminalOffenceData
crime	CriminalOffenceData
criminal	CriminalOffenceData
arrest	CriminalOffenceData
parole	CriminalOffenceData
probation	CriminalOffenceData
prosecution	CriminalOffenceData
indictment	CriminalOffenceData
incarceration	CriminalOffenceData
warrant	CriminalOffenceData
penal	CriminalOffenceData
health	HealthData
medical	HealthData
med	HealthData
meds	HealthData
diagnosis	HealthData
dx	HealthData
disease	HealthData
illness	HealthData
sick	HealthData
sickness	HealthData
injury	HealthData
treatment	HealthData
therapy	HealthData
medication	HealthData
prescription	HealthData
rx	HealthData
dosage	HealthData
allergy	HealthData
allergies	HealthData
disability	HealthData
handicap	HealthData
blood	HealthData
vaccine	HealthData
vaccination	HealthData
immunization	HealthData
surgery	HealthData
symptom	HealthData
pathology	HealthData
psychiatric	HealthData
pregnancy	HealthData
pregnant	HealthData
hiv	HealthData
cancer	HealthData
diabetes	HealthData
bmi	HealthData
patient	HealthData
mrn	HealthData
hospital	HealthData
physician	HealthData
clinical	HealthData
religion	SpecialCategoryData
religious	SpecialCategoryData
faith	SpecialCategoryData
belief	SpecialCategoryData
ethnicity	SpecialCategoryData
ethnic	SpecialCategoryData
race	SpecialCategoryData
racial	SpecialCategoryData
sexuality	SpecialCategoryData
sexual	SpecialCategoryData
orientation	SpecialCategoryData
political	SpecialCategoryData
ideology	SpecialCategoryData
philosophical	SpecialCategoryData
genetic	SpecialCategoryData
dna	SpecialCategoryData
biometric	SpecialCategoryData
fingerprint	SpecialCategoryData
retina	SpecialCategoryData
iris	SpecialCategoryData
faceprint	SpecialCategoryData
password	AuthenticationSecret
passwd	AuthenticationSecret
pwd	AuthenticationSecret
pass	AuthenticationSecret
passphrase	AuthenticationSecret
secret	AuthenticationSecret
token	AuthenticationSecret
apikey	AuthenticationSecret
credential	AuthenticationSecret
credentials	AuthenticationSecret
hash	AuthenticationSecret
salt	AuthenticationSecret
otp	AuthenticationSecret
totp	AuthenticationSecret
mfa	AuthenticationSecret
pin	AuthenticationSecret
jwt	AuthenticationSecret
oauth	AuthenticationSecret
auth	AuthenticationSecret
ssn	NationalIdentifier
sin	NationalIdentifier
nino	NationalIdentifier
nhs	NationalIdentifier
tin	NationalIdentifier
itin	NationalIdentifier
passport	NationalIdentifier
nid	NationalIdentifier
dni	NationalIdentifier
salary	FinancialData
wage	FinancialData
wages	FinancialData
income	FinancialData
earnings	FinancialData
compensation	FinancialData
remuneration	FinancialData
payroll	FinancialData
bonus	FinancialData
iban	FinancialData
bic	FinancialData
swift	FinancialData
account	FinancialData
acct	FinancialData
bank	FinancialData
banking	FinancialData
credit	FinancialData
debit	FinancialData
card	FinancialData
pan	FinancialData
cvv	FinancialData
cvc	FinancialData
visa	FinancialData
payment	FinancialData
invoice	FinancialData
billing	FinancialData
tax	FinancialData
loan	FinancialData
mortgage	FinancialData
debt	FinancialData
balance	FinancialData
pension	FinancialData
insurance	FinancialData
routing	FinancialData
sortcode	FinancialData
bankruptcy	FinancialData
wealth	FinancialData
gps	LocationData
latitude	LocationData
longitude	LocationData
lat	LocationData
lng	LocationData
lon	LocationData
geo	LocationData
geolocation	LocationData
location	LocationData
loc	LocationData
position	LocationData
coord	LocationData
coords	LocationData
coordinates	LocationData
altitude	LocationData
waypoint	LocationData
ip	ConnectionData
mac	ConnectionData
imei	ConnectionData
imsi	ConnectionData
cookie	ConnectionData
session	ConnectionData
device	ConnectionData
hostname	ConnectionData
browser	ConnectionData
useragent	ConnectionData
ua	ConnectionData
login	ConnectionData
logon	ConnectionData
username	ConnectionData
connection	ConnectionData
name	Identity
firstname	Identity
lastname	Identity
surname	Identity
forename	Identity
fname	Identity
lname	Identity
middlename	Identity
fullname	Identity
given	Identity
maiden	Identity
nickname	Identity
alias	Identity
initials	Identity
birth	Identity
birthday	Identity
birthdate	Identity
dob	Identity
born	Identity
age	Identity
gender	Identity
sex	Identity
title	Identity
nationality	Identity
citizenship	Identity
marital	Identity
spouse	Identity
photo	Identity
picture	Identity
avatar	Identity
signature	Identity
death	Identity
deceased	Identity
email	ContactDetails
mail	ContactDetails
phone	ContactDetails
telephone	ContactDetails
tel	ContactDetails
mobile	ContactDetails
cell	ContactDetails
cellphone	ContactDetails
fax	ContactDetails
msisdn	ContactDetails
address	ContactDetails
addr	ContactDetails
street	ContactDetails
city	ContactDetails
town	ContactDetails
zip	ContactDetails
zipcode	ContactDetails
postcode	ContactDetails
postal	ContactDetails
country	ContactDetails
province	ContactDetails
residence	ContactDetails
contact	ContactDetails
skype	ContactDetails
whatsapp	ContactDetails
job	ProfessionalLife
occupation	ProfessionalLife
profession	ProfessionalLife
professional	ProfessionalLife
employer	ProfessionalLife
employee	ProfessionalLife
employment	ProfessionalLife
company	ProfessionalLife
department	ProfessionalLife
dept	ProfessionalLife
manager	ProfessionalLife
grade	ProfessionalLife
seniority	ProfessionalLife
hire	ProfessionalLife
hired	ProfessionalLife
resume	ProfessionalLife
cv	ProfessionalLife
diploma	ProfessionalLife
degree	ProfessionalLife
education	ProfessionalLife
qualification	ProfessionalLife
career	ProfessionalLife
work	ProfessionalLife
staff	ProfessionalLife
rank	ProfessionalLife
promotion	ProfessionalLife
internship	ProfessionalLife
apprentice	ProfessionalLife
retirement	ProfessionalLife
personal	PersonalDataUncategorised
pii	PersonalDataUncategorised
private	PersonalDataUncategorised
