terme	valeur
infraction	CriminalOffenceData
condamnation	CriminalOffenceData
delit	CriminalOffenceData
crime	CriminalOffenceData
casier	CriminalOffenceData
penal	CriminalOffenceData
contravention	CriminalOffenceData
amende	CriminalOffenceData
recidive	CriminalOffenceData
poursuite	CriminalOffenceData
detention	CriminalOffenceData
incarceration	CriminalOffenceData
prison	CriminalOffenceData
ecrou	CriminalOffenceData
sursis	CriminalOffenceData
verbalisation	CriminalOffenceData
judiciaire	CriminalOffenceData
justice	CriminalOffenceData
victime	CriminalOffenceData
prevenu	CriminalOffenceData
sanction	CriminalOffenceData
sante	HealthData
maladie	HealthData
medical	HealthData
medicament	HealthData
pathologie	HealthData
diagnostic	HealthData
allergie	HealthData
allergene	HealthData
handicap	HealthData
invalidite	HealthData
hospitalisation	HealthData
hopital	HealthData
vaccin	HealthData
vaccination	HealthData
mutuelle	HealthData
grossesse	HealthData
sanguin	HealthData
sang	HealthData
ordonnance	HealthData
symptome	HealthData
antecedent	HealthData
psy	HealthData
psychiatrique	HealthData
imc	HealthData
depistage	HealthData
serologie	HealthData
vih	HealthData
covid	HealthData
cancer	HealthData
diabete	HealthData
soin	HealthData
infirmier	HealthData
medecin	HealthData
consultation	HealthData
ald	HealthData
rqth	HealthData
cpam	HealthData
prothese	HealthData
tabac	HealthData
alcool	HealthData
poids	HealthData
glycemie	HealthData
vitale	HealthData
religion	SpecialCategoryData
confession	SpecialCategoryData
croyance	SpecialCategoryData
conviction	SpecialCategoryData
culte	SpecialCategoryData
ethnie	SpecialCategoryData
ethnique	SpecialCategoryData
race	SpecialCategoryData
racial	SpecialCategoryData
syndicat	SpecialCategoryData
syndical	SpecialCategoryData
opinion	SpecialCategoryData
politique	SpecialCategoryData
vote	SpecialCategoryData
militant	SpecialCategoryData
orientation	SpecialCategoryData
sexualite	SpecialCategoryData
sexuel	SpecialCategoryData
biometrie	SpecialCategoryData
biometrique	SpecialCategoryData
empreinte	SpecialCategoryData
adn	SpecialCategoryData
genetique	SpecialCategoryData
genome	SpecialCategoryData
facial	SpecialCategoryData
philosophique	SpecialCategoryData
motdepasse	AuthenticationSecret
mdp	AuthenticationSecret
passe	AuthenticationSecret
secret	AuthenticationSecret
jeton	AuthenticationSecret
sel	AuthenticationSecret
hachage	AuthenticationSecret
cle	AuthenticationSecret
pin	AuthenticationSecret
otp	AuthenticationSecret
token	AuthenticationSecret
nir	NationalIdentifier
insee	NationalIdentifier
secu	NationalIdentifier
cni	NationalIdentifier
passeport	NationalIdentifier
permis	NationalIdentifier
niss	NationalIdentifier
avs	NationalIdentifier
iban	FinancialData
bic	FinancialData
rib	FinancialData
banque	FinancialData
bancaire	FinancialData
compte	FinancialData
salaire	FinancialData
remuneration	FinancialData
paie	FinancialData
paye	FinancialData
solde	FinancialData
revenu	FinancialData
impot	FinancialData
fiscal	FinancialData
credit	FinancialData
debit	FinancialData
dette	FinancialData
endettement	FinancialData
solvabilite	FinancialData
emprunt	FinancialData
pret	FinancialData
facture	FinancialData
facturation	FinancialData
paiement	FinancialData
virement	FinancialData
cheque	FinancialData
cb	FinancialData
patrimoine	FinancialData
quotient	FinancialData
allocation	FinancialData
caf	FinancialData
retraite	FinancialData
pension	FinancialData
bourse	FinancialData
loyer	FinancialData
cotisation	FinancialData
prime	FinancialData
transaction	FinancialData
achat	FinancialData
gps	LocationData
latitude	LocationData
longitude	LocationData
lat	LocationData
lon	LocationData
lng	LocationData
geolocalisation	LocationData
geoloc	LocationData
geo	LocationData
localisation	LocationData
position	LocationData
deplacement	LocationData
trajet	LocationData
itineraire	LocationData
imei	ConnectionData
ip	ConnectionData
mac	ConnectionData
log	ConnectionData
journalisation	ConnectionData
connexion	ConnectionData
session	ConnectionData
cookie	ConnectionData
navigateur	ConnectionData
appareil	ConnectionData
login	ConnectionData
pseudo	ConnectionData
pseudonyme	ConnectionData
trace	ConnectionData
nom	Identity
prenom	Identity
naissance	Identity
naiss	Identity
nationalite	Identity
sexe	Identity
genre	Identity
civilite	Identity
civil	Identity
age	Identity
surnom	Identity
identite	Identity
conjoint	Identity
marital	Identity
matrimonial	Identity
familial	Identity
famille	Identity
enfant	Identity
deces	Identity
anniversaire	Identity
photo	Identity
tutelle	Identity
email	ContactDetails
courriel	ContactDetails
mail	ContactDetails
mel	ContactDetails
telephone	ContactDetails
tel	ContactDetails
portable	ContactDetails
mobile	ContactDetails
gsm	ContactDetails
fax	ContactDetails
adresse	ContactDetails
adr	ContactDetails
rue	ContactDetails
voie	ContactDetails
ville	ContactDetails
commune	ContactDetails
postal	ContactDetails
cp	ContactDetails
pays	ContactDetails
domicile	ContactDetails
residence	ContactDetails
coordonnee	ContactDetails
coord	ContactDetails
contact	ContactDetails
emploi	ProfessionalLife
profession	ProfessionalLife
metier	ProfessionalLife
poste	ProfessionalLife
employeur	ProfessionalLife
salarie	ProfessionalLife
matricule	ProfessionalLife
fonction	ProfessionalLife
grade	ProfessionalLife
echelon	ProfessionalLife
anciennete	ProfessionalLife
conge	ProfessionalLife
demission	ProfessionalLife
licenciement	ProfessionalLife
embauche	ProfessionalLife
recrutement	ProfessionalLife
carriere	ProfessionalLife
diplome	ProfessionalLife
formation	ProfessionalLife
competence	ProfessionalLife
cv	ProfessionalLife
cdi	ProfessionalLife
cdd	ProfessionalLife
stage	ProfessionalLife
scolarite	ProfessionalLife
travail	ProfessionalLife
evaluation	ProfessionalLife
personnel	PersonalDataUncategorised
prive	PersonalDataUncategorised
confidentiel	PersonalDataUncategorised
sensible	PersonalDataUncategorised
dcp	PersonalDataUncategorised
